,,vehicle_type_code1,,,,Vehicle_types,if it contains
FIRET,,1,,,,,
Const,,1,,,,,
WORK VAN,,1,,,,,
DELIVERY V,,1,,,,,
HI TA,,1,,,,,
Truck,,1,,,,,
stree,,1,,,,,
SMART CAR,,1,,,,,
BUS,,1,,,,,
Tow t,,1,,,,,
CAT,,1,,,,,
Lawnmower,,1,,,,,
Trac,,1,,,,,
Tractor tr,,1,,,,,
LADDER 34,,1,,,,,
